"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"New York"	"36"	17	661449	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"North Carolina"	"37"	17	334103	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Ohio"	"39"	38	381400	10.0
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Pennsylvania"	"42"	29	432743	6.7
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"South Carolina"	"45"	16	158536	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Tennessee"	"47"	27	218576	12.4
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Texas"	"48"	70	852194	8.2
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Virginia"	"51"	10	285256	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Alabama"	"01"	31	156734	19.8
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Arizona"	"04"	33	206923	15.9
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Arkansas"	"05"	20	93354	21.4
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"California"	"06"	39	1270027	3.1
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Colorado"	"08"	27	173881	15.5
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Florida"	"12"	76	692811	11.0
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Georgia"	"13"	52	340721	15.3
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Illinois"	"17"	37	418476	8.8
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Indiana"	"18"	37	214364	17.3
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Kansas"	"20"	20	87941	22.7
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Kentucky"	"21"	31	147369	21.0
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Louisiana"	"22"	31	144409	21.5
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Maryland"	"24"	15	208729	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Massachusetts"	"25"	12	237990	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Michigan"	"26"	45	335374	13.4
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Mississippi"	"28"	13	91202	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Missouri"	"29"	27	195689	13.8
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Montana"	"30"	12	31659	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Nevada"	"32"	11	98694	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"New Jersey"	"34"	12	318638	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"New Mexico"	"35"	14	61268	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"New York"	"36"	23	661449	3.5
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"North Carolina"	"37"	37	334103	11.1
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Ohio"	"39"	56	381400	14.7
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Pennsylvania"	"42"	66	432743	15.3
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"South Carolina"	"45"	35	158536	22.1
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Tennessee"	"47"	38	218576	17.4
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Texas"	"48"	106	852194	12.4
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Virginia"	"51"	13	285256	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by sharp object"	"X78"	"Intentional self-harm by sharp object"	"X78"	"Florida"	"12"	11	692811	Unreliable
	"50-54 years"	"50-54"	"Male"	"M"	"Intentional self-harm by jumping from a high place"	"X80"	"Intentional self-harm by jumping from a high place"	"X80"	"California"	"06"	13	1270027	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	"California"	"06"	17	1288876	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	"New Jersey"	"34"	11	335718	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	"Pennsylvania"	"42"	16	480859	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"California"	"06"	26	1288876	2.0
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Florida"	"12"	14	754742	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Illinois"	"17"	11	450310	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Michigan"	"26"	10	370526	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"New Jersey"	"34"	11	335718	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Pennsylvania"	"42"	17	480859	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Texas"	"48"	10	867324	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"California"	"06"	20	1288876	1.6
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Florida"	"12"	10	754742	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"New York"	"36"	11	713765	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Pennsylvania"	"42"	10	480859	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"California"	"06"	20	1288876	1.6
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Florida"	"12"	10	754742	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"New York"	"36"	11	713765	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Pennsylvania"	"42"	10	480859	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Florida"	"12"	12	754742	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Oklahoma"	"40"	10	131370	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"Florida"	"12"	12	754742	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"Oklahoma"	"40"	12	131370	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Florida"	"12"	12	754742	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Oklahoma"	"40"	12	131370	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Arizona"	"04"	10	225341	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Florida"	"12"	11	754742	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Ohio"	"39"	10	429895	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Tennessee"	"47"	10	236522	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Texas"	"48"	25	867324	2.9
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Florida"	"12"	13	754742	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Ohio"	"39"	10	429895	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Texas"	"48"	22	867324	2.5
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Alabama"	"01"	11	175678	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Arizona"	"04"	12	225341	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Florida"	"12"	15	754742	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Georgia"	"13"	11	350392	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Indiana"	"18"	10	232349	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Michigan"	"26"	10	370526	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Ohio"	"39"	13	429895	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Pennsylvania"	"42"	11	480859	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Tennessee"	"47"	12	236522	Unreliable
	"55-59 years"	"55-59"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Texas"	"48"	35	867324	4.0
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	"California"	"06"	10	1239880	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	"Florida"	"12"	13	693675	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	"New York"	"36"	10	662408	Unreliable
	"55-59 years"	"55-59"	"Male"	"M"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"California"	"06"	21	1239880	1.7
